n,seed,alpha,bf_n_values,bf_values_time,bf_ocs_obj,bf_ocs_time,bf_socs_obj,bf_core_checks,bf_core_time,bf_socs_dp_time,bf_values_time_projected,bf_socs_time_projected
2,44,0.5,3,0.01,1340.0,0.0,1340.0,3.0,0.0,0.0,,
2,44,1.0,3,0.02,1365.0,0.0,1365.0,3.0,0.0,0.0,,
4,46,0.5,15,0.05,3037.0,0.0,3037.0,15.0,0.02,0.0,,
4,46,1.0,15,0.06,3105.0,0.0,3105.0,15.0,0.02,0.0,,
6,48,0.5,63,0.43,3622.0,0.0,3622.0,63.0,0.03,0.0,,
6,48,1.0,63,0.31,3696.0,0.0,3696.0,63.0,0.05,0.0,,
8,50,0.5,255,1.98,5487.0,0.0,5487.0,255.0,0.16,0.0,,
8,50,1.0,255,1.34,5609.0,0.0,5606.0,255.0,0.24,0.0,,
10,52,0.5,1023,9.6,7483.0,0.02,7483.0,1023.0,0.95,0.0,,
10,52,1.0,1023,6.37,7564.0,0.0,7564.0,1023.0,1.33,0.01,,
12,54,0.5,4095,48.93,8244.0,0.05,8244.0,4095.0,7.36,0.03,,
12,54,1.0,4095,26.48,8325.0,0.05,8325.0,4095.0,10.06,0.05,,
14,56,0.5,16383,242.21,8855.0,0.44,8855.0,16383.0,61.48,0.3,,
14,56,1.0,16383,112.79,8953.0,0.3,8953.0,16383.0,76.18,0.33,,
16,58,0.5,65535,916.81,10250.0,3.13,,,,,,
16,58,1.0,65535,509.52,10341.0,2.9,,,,,,
18,60,0.5,262143,3628.37,,,,,,,,
18,60,1.0,262143,2126.91,,,,,,,,
20,62,0.5,1048575,,,,,,,,8878.4,33223.8
20,62,1.0,1048575,,,,,,,,8878.4,33223.8
22,64,0.5,4194303,,,,,,,,37061.4,251597.4
22,64,1.0,4194303,,,,,,,,37061.4,251597.4
24,66,0.5,16777215,,,,,,,,154706.0,1905297.5
24,66,1.0,16777215,,,,,,,,154706.0,1905297.5
26,68,0.5,67108863,,,,,,,,645792.3,14428444.8
26,68,1.0,67108863,,,,,,,,645792.3,14428444.8
28,70,0.5,268435455,,,,,,,,2695743.2,109263785.5
28,70,1.0,268435455,,,,,,,,2695743.2,109263785.5
30,72,0.5,1073741823,,,,,,,,11252893.4,827433238.2
30,72,1.0,1073741823,,,,,,,,11252893.4,827433238.2
