n,seed,alpha,method,obj,runtime,n_cuts,status,mip_gap,n_callbacks,callback_time,n_iterations,heur_runtime,heur_value,heur_status,heur_pool_size,solver_runtime,coalitions,n_coalitions,avg_coalition_size,css_feasible,n_lifted_added,n_basic_added,n_value_evals,heur_phase1_time,heur_phase2_time,heur_core_checks,heur_core_feasible,heur_coalitions,heur_payoffs,payoffs,timestamp
22,64,0.5,OCS_McC,15135.000036395648,3600.906,0,timeout,0.00790839441549831,,,,,,,,,"[(10,), (2, 20), (8, 12), (13, 16), (0, 1, 3, 4, 5, 6, 7, 9, 11, 14, 15, 17, 18, 19, 21)]",5,4.4,,,,,,,,,,,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 644.0, ""11"": 0.0, ""12"": 1488.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 1518.0, ""17"": 10155.0, ""18"": 0.0, ""19"": 0.0, ""20"": 1330.0, ""21"": 0.0}",07-25 21:33:41
22,64,0.5,OCS_DL,15135.000453755656,3600.593,0,timeout,0.007290588594716625,,,,,,,,,"[(7, 10), (8, 12), (0, 1, 2, 3, 4, 5, 6, 9, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21)]",3,7.33,,,,,,,,,,,"{""0"": 12377.0005, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 1270.0, ""11"": 0.0, ""12"": 1488.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0, ""20"": 0.0, ""21"": 0.0}",07-25 22:33:44
22,64,0.5,lazy_McC,15125.000018222263,3600.383,62,timeout,0.009076551430109185,92,0.19929099082946777,,,,,,,"[(15,), (0, 6), (1, 18), (2, 20), (3, 19), (4, 5), (8, 12), (10, 21), (11, 17), (13, 16), (7, 9, 14)]",11,2.0,True,62,0,45,,,,,,,"{""0"": 732.0, ""1"": 748.0, ""2"": 619.9999, ""3"": 914.0, ""4"": 565.0, ""5"": 872.0, ""6"": 744.0003, ""7"": 625.0, ""8"": 821.0, ""9"": 568.0, ""10"": 669.0, ""11"": 488.0, ""12"": 667.0, ""13"": 699.9999, ""14"": 584.0, ""15"": 596.0, ""16"": 817.9998, ""17"": 758.0, ""18"": 660.0, ""19"": 600.0, ""20"": 710.0002, ""21"": 666.0}",07-25 23:33:49
22,64,0.5,lazy_DL,15091.0,3601.202,1205,timeout,0.012168033452864869,70,9.58837342262268,,,,,,,"[(3,), (17,), (0, 7), (1, 18), (2, 20), (4, 5), (6, 21), (8, 12), (9, 15), (10, 13), (11, 19), (14, 16)]",12,1.83,True,499,706,1978,,,,,,,"{""0"": 732.0, ""1"": 748.0, ""2"": 620.0, ""3"": 878.0, ""4"": 591.0, ""5"": 846.0, ""6"": 747.0, ""7"": 630.0, ""8"": 821.0, ""9"": 590.0, ""10"": 644.0, ""11"": 488.0, ""12"": 667.0, ""13"": 694.0, ""14"": 561.0, ""15"": 596.0, ""16"": 844.0, ""17"": 717.0, ""18"": 660.0, ""19"": 641.0, ""20"": 710.0, ""21"": 666.0}",07-26 00:33:54
22,64,0.5,lazy_MIP_McC,15125.000018222263,3600.959,63,timeout,0.009095178690134573,92,0.684924840927124,,,,,,,"[(15,), (0, 6), (1, 18), (2, 20), (3, 19), (4, 5), (8, 12), (10, 21), (11, 17), (13, 16), (7, 9, 14)]",11,2.0,True,63,0,46,,,,,,,"{""0"": 732.0, ""1"": 748.0, ""2"": 619.9999, ""3"": 914.0, ""4"": 565.0, ""5"": 872.0, ""6"": 744.0003, ""7"": 625.0, ""8"": 821.0, ""9"": 568.0, ""10"": 669.0, ""11"": 488.0, ""12"": 667.0, ""13"": 699.9999, ""14"": 584.0, ""15"": 596.0, ""16"": 817.9998, ""17"": 758.0, ""18"": 660.0, ""19"": 600.0, ""20"": 710.0002, ""21"": 666.0}",07-26 01:33:58
22,64,0.5,lazy_MIP_DL,15119.000005984784,3601.844,1250,timeout,0.010264337218381795,57,9.466912746429443,,,,,,,"[(1,), (0, 6), (2, 20), (3, 19), (4, 5), (8, 21), (10, 15), (11, 17), (12, 18), (13, 16), (7, 9, 14)]",11,2.0,True,456,794,1753,,,,,,,"{""0"": 732.0, ""1"": 748.0, ""2"": 620.0, ""3"": 907.0, ""4"": 565.0, ""5"": 872.0, ""6"": 744.0, ""7"": 625.0001, ""8"": 794.0, ""9"": 567.9997, ""10"": 644.0, ""11"": 529.0, ""12"": 685.0, ""13"": 700.0, ""14"": 584.0001, ""15"": 619.0, ""16"": 818.0, ""17"": 717.0, ""18"": 654.0, ""19"": 600.0, ""20"": 710.0, ""21"": 684.0}",07-26 02:34:04
22,64,1.0,OCS_McC,15341.0,3.339,0,optimal,7.740694869968183e-05,,,,,,,,,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)]",1,22.0,,,,,,,,,,,"{""0"": 15341.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0, ""20"": 0.0, ""21"": 0.0}",07-26 05:34:21
22,64,1.0,OCS_DL,15341.0,0.853,0,optimal,7.740694869932613e-05,,,,,,,,,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)]",1,22.0,,,,,,,,,,,"{""0"": 15341.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0, ""20"": 0.0, ""21"": 0.0}",07-26 05:34:25
22,64,1.0,lazy_McC,15322.000003132276,3600.469,9654,timeout,0.0013175497234554155,219,83.38981509208679,,,,,,,"[(10, 13), (2, 4, 7), (9, 11, 14, 18, 20), (12, 15, 16, 17, 19), (0, 1, 3, 5, 6, 8, 21)]",5,4.4,True,9654,0,18056,,,,,,,"{""0"": 752.0, ""1"": 755.0, ""2"": 659.0, ""3"": 899.0, ""4"": 565.0, ""5"": 865.0, ""6"": 738.0, ""7"": 640.0, ""8"": 810.0, ""9"": 563.0, ""10"": 662.0, ""11"": 524.0003, ""12"": 667.0, ""13"": 683.0, ""14"": 591.0002, ""15"": 639.0, ""16"": 851.0, ""17"": 762.0, ""18"": 674.9995, ""19"": 630.0, ""20"": 694.0, ""21"": 698.0}",07-26 05:34:26
22,64,1.0,lazy_DL,15275.0,3601.292,7972,timeout,0.004398527004903553,232,61.16662812232971,,,,,,,"[(0, 14), (2, 6), (8, 12), (11, 18, 19), (1, 9, 10, 21), (7, 13, 15, 17), (3, 4, 5, 16, 20)]",7,3.14,True,7972,0,12194,,,,,,,"{""0"": 762.0, ""1"": 764.0, ""2"": 620.0, ""3"": 894.0, ""4"": 573.0, ""5"": 864.0, ""6"": 758.0, ""7"": 623.0, ""8"": 794.0, ""9"": 570.0, ""10"": 654.0, ""11"": 491.0, ""12"": 694.0, ""13"": 691.0, ""14"": 561.0, ""15"": 639.0, ""16"": 849.0, ""17"": 747.0, ""18"": 681.0, ""19"": 654.0, ""20"": 694.0, ""21"": 698.0}",07-26 06:34:29
22,64,1.0,lazy_MIP_McC,15327.0,3600.953,8698,timeout,0.0009908984144899053,222,81.94452953338623,,,,,,,"[(12, 16, 17, 19), (9, 11, 14, 18, 20), (0, 3, 5, 7, 8, 21), (1, 2, 4, 6, 10, 13, 15)]",4,5.5,True,8698,0,15282,,,,,,,"{""0"": 754.0, ""1"": 756.0, ""2"": 664.0, ""3"": 900.0, ""4"": 580.0, ""5"": 870.0, ""6"": 737.0, ""7"": 630.0, ""8"": 802.0, ""9"": 563.0, ""10"": 652.0, ""11"": 521.0, ""12"": 667.0, ""13"": 696.0, ""14"": 591.0, ""15"": 634.0, ""16"": 848.0, ""17"": 745.0, ""18"": 675.0, ""19"": 650.0, ""20"": 697.0, ""21"": 695.0}",07-26 07:34:36
22,64,1.0,lazy_MIP_DL,15300.000003786865,3600.429,3426,timeout,0.002757352692986019,107,23.175371170043945,,,,,,,"[(0, 13), (1, 12), (2, 14, 20), (6, 7, 18), (16, 17, 21), (3, 10, 11, 19), (4, 5, 8, 9, 15)]",7,3.14,True,3426,0,4997,,,,,,,"{""0"": 732.0, ""1"": 748.0, ""2"": 674.0, ""3"": 883.0, ""4"": 571.0, ""5"": 866.0, ""6"": 705.0, ""7"": 641.0, ""8"": 816.0, ""9"": 584.0, ""10"": 659.0, ""11"": 517.0, ""12"": 680.0, ""13"": 712.0, ""14"": 588.0, ""15"": 635.0, ""16"": 846.0, ""17"": 752.0, ""18"": 694.0, ""19"": 656.0, ""20"": 656.0, ""21"": 685.0}",07-26 08:34:39
24,66,0.5,OCS_McC,16374.061481469053,3606.849,0,timeout,0.0032129854403173523,,,,,,,,,"[(17,), (21,), (2, 16), (5, 15), (6, 14), (18, 20), (0, 1, 3, 4, 7, 8, 9, 10, 11, 12, 13, 19, 22, 23)]",7,3.43,,,,,,,,,,,"{""0"": 0.0, ""1"": 0.023, ""2"": 1329.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 1415.0, ""7"": 0.0, ""8"": 0.0, ""9"": 9419.0216, ""10"": 0.0, ""11"": 0.0169, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 1302.0, ""16"": 0.0, ""17"": 671.0, ""18"": 1409.0, ""19"": 0.0, ""20"": 0.0, ""21"": 829.0, ""22"": 0.0, ""23"": 0.0}",07-26 11:34:52
24,66,0.5,OCS_DL,16353.000117054868,3601.105,0,timeout,0.003079028943542025,,,,,,,,,"[(5,), (21,), (6, 14), (10, 15), (18, 20), (0, 1, 2, 3, 4, 7, 8, 9, 11, 12, 13, 16, 17, 19, 22, 23)]",6,4.0,,,,,,,,,,,"{""0"": 10763.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 696.0, ""6"": 1415.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 1241.0001, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0, ""20"": 1409.0, ""21"": 829.0, ""22"": 0.0, ""23"": 0.0}",07-26 12:34:59
24,66,0.5,lazy_McC,16293.000064901473,3601.76,67,timeout,0.007563173465470203,93,0.22655940055847168,,,,,,,"[(9,), (21,), (0, 16), (1, 14), (2, 8), (3, 7), (4, 11), (5, 12), (6, 23), (10, 15), (13, 22), (17, 19), (18, 20)]",13,1.85,True,65,2,40,,,,,,,"{""0"": 706.0, ""1"": 519.0001, ""2"": 387.0, ""3"": 796.0, ""4"": 638.0, ""5"": 723.0, ""6"": 668.0, ""7"": 645.0, ""8"": 791.0, ""9"": 641.0, ""10"": 617.0, ""11"": 767.0, ""12"": 704.0, ""13"": 546.0, ""14"": 723.0, ""15"": 624.0, ""16"": 883.0, ""17"": 671.0, ""18"": 704.0, ""19"": 627.0, ""20"": 705.0, ""21"": 829.0, ""22"": 778.0, ""23"": 601.0}",07-26 13:35:04
24,66,0.5,lazy_DL,375.0,3600.747,1553,timeout,42.848682863993005,50,12.58480978012085,,,,,,,"[(0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,), (11,), (12,), (13,), (14,), (15,), (16,), (17,), (18,), (19,), (20,), (21,), (22,), (23,)]",24,1.0,True,443,1110,2084,,,,,,,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0, ""20"": 0.0, ""21"": 0.0, ""22"": 0.0, ""23"": 375.0}",07-26 14:35:10
24,66,0.5,lazy_MIP_McC,16278.000007578961,3601.332,70,timeout,0.008262999826244758,89,0.8506591320037842,,,,,,,"[(21,), (23,), (0, 15), (1, 10), (2, 16), (3, 8), (4, 11), (5, 12), (6, 14), (7, 9), (13, 22), (17, 19), (18, 20)]",13,1.85,True,68,2,41,,,,,,,"{""0"": 684.0, ""1"": 533.0, ""2"": 387.0, ""3"": 786.0, ""4"": 638.0, ""5"": 696.0, ""6"": 668.0, ""7"": 645.0, ""8"": 737.0, ""9"": 648.0, ""10"": 617.0, ""11"": 767.0, ""12"": 731.0, ""13"": 517.0, ""14"": 747.0, ""15"": 598.0001, ""16"": 942.0, ""17"": 690.0, ""18"": 704.0, ""19"": 607.9999, ""20"": 705.0, ""21"": 829.0, ""22"": 807.0, ""23"": 594.0}",07-26 15:35:14
24,66,0.5,lazy_MIP_DL,375.0,3601.582,2666,timeout,42.84985343594072,49,28.489336490631104,,,,,,,"[(0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,), (11,), (12,), (13,), (14,), (15,), (16,), (17,), (18,), (19,), (20,), (21,), (22,), (23,)]",24,1.0,True,537,2129,3978,,,,,,,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0, ""20"": 0.0, ""21"": 0.0, ""22"": 0.0, ""23"": 375.0}",07-26 16:35:20
24,66,1.0,OCS_McC,16439.000041084975,3600.355,0,timeout,0.00040452332248892717,,,,,,,,,"[(2, 4), (3, 6, 7, 8, 12, 18, 21), (0, 1, 5, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 22, 23)]",3,8.0,,,,,,,,,,,"{""0"": 0.0, ""1"": 0.0, ""2"": 1066.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 5174.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0, ""20"": 0.0, ""21"": 0.0, ""22"": 10199.0, ""23"": 0.0}",07-26 19:35:36
24,66,1.0,OCS_DL,16439.000104348488,3600.333,0,timeout,0.0004045194725527763,,,,,,,,,"[(5, 10, 11, 12, 14), (0, 1, 2, 3, 4, 6, 7, 8, 9, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23)]",2,12.0,,,,,,,,,,,"{""0"": 12840.9981, ""1"": 0.002, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 3598.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0, ""20"": 0.0, ""21"": 0.0, ""22"": 0.0, ""23"": 0.0}",07-26 20:35:40
