n,seed,alpha,method,coalition,size,V_c,shapley,shapley_in_core,shapley_max_violation,nucleolus,least_core_eps,n_subsets,runtime_values,runtime_shapley,runtime_nucleolus
2,44,0.5,lazy_MIP_ws_McC,"(0,)",1,569.0,"{""0"": 569.0}",True,0.0,"{""0"": 569.0}",0.0,1,0.013,0.0,0.0
2,44,0.5,lazy_MIP_ws_McC,"(1,)",1,771.0,"{""1"": 771.0}",True,0.0,"{""1"": 771.0}",0.0,1,0.003,0.0,0.0
2,44,1.0,lazy_MIP_ws_McC,"(0, 1)",2,1365.0,"{""0"": 581.5, ""1"": 783.5}",True,0.0,"{""0"": 581.5, ""1"": 783.5}",-12.5,3,0.005,0.0,0.013
4,46,0.5,lazy_MIP_ws_McC,"(1,)",1,723.0,"{""1"": 723.0}",True,0.0,"{""1"": 723.0}",0.0,1,0.007,0.0,0.0
4,46,0.5,lazy_MIP_ws_McC,"(2,)",1,718.0,"{""2"": 718.0}",True,0.0,"{""2"": 718.0}",0.0,1,0.002,0.0,0.0
4,46,0.5,lazy_MIP_ws_McC,"(0, 3)",2,1596.0,"{""0"": 704.0, ""3"": 892.0}",True,0.0,"{""0"": 704.0, ""3"": 892.0}",-17.0,3,0.004,0.0,0.0
4,46,1.0,lazy_MIP_ws_McC,"(0, 1, 2, 3)",4,3105.0,"{""0"": 709.0, ""1"": 745.1667, ""2"": 740.0, ""3"": 910.8333}",True,0.0,"{""0"": 708.6667, ""1"": 741.5, ""2"": 738.6667, ""3"": 916.1667}",-5.333333,15,0.091,0.0,0.004
6,48,0.5,lazy_MIP_ws_McC,"(2,)",1,608.0,"{""2"": 608.0}",True,0.0,"{""2"": 608.0}",0.0,1,0.0,0.0,0.0
6,48,0.5,lazy_MIP_ws_McC,"(3,)",1,573.0,"{""3"": 573.0}",True,0.0,"{""3"": 573.0}",0.0,1,0.016,0.0,0.0
6,48,0.5,lazy_MIP_ws_McC,"(0, 1)",2,1364.0,"{""0"": 798.0, ""1"": 566.0}",True,0.0,"{""0"": 798.0, ""1"": 566.0}",-2.0,3,0.016,0.0,0.0
