n,seed,alpha,rootLP_McC,rootLP_DL,tightening_%,rootLP_DL_cuts,inert,time_s
2,44,0.5,2531.1588106473873,1375.7738888888885,45.6465,1375.7738888888885,True,0.0
2,44,1.0,2531.1588106473873,1376.4666666666667,45.6191,1376.4666666666667,True,0.1
4,46,0.5,13795.394483539047,3113.999999999999,77.4272,3114.0,True,0.2
4,46,1.0,13795.394483539047,3114.0,77.4272,3113.9999999999995,True,0.1
6,48,0.5,29318.834128537226,3699.88,87.3805,3699.8799999999997,True,0.2
6,48,1.0,29318.834128537226,3699.88,87.3805,3699.8800000000006,True,0.2
8,50,0.5,61196.99843829454,5614.6875,90.8252,5614.687500000001,True,0.5
8,50,1.0,61196.99843829454,5614.6875,90.8252,5614.6875,True,0.5
10,52,0.5,110031.57154008863,7567.8625,93.1221,7567.862500000001,True,0.7
10,52,1.0,110031.57154008864,7567.862499999999,93.1221,7567.8625,True,0.6
12,54,0.5,150727.0041177327,8331.388888888889,94.4725,8331.388888888887,True,0.9
12,54,1.0,150727.0041177327,8331.388888888889,94.4725,8331.388888888889,True,0.9
14,56,0.5,193826.3748057406,8954.777777777777,95.38,8954.777777777777,True,1.3
14,56,1.0,193826.3748057406,8954.777777777777,95.38,8954.777777777777,True,1.4
16,58,0.5,266031.3856295852,10344.874999999998,96.1114,10344.87499999998,True,1.8
16,58,1.0,266031.3856295852,10344.875,96.1114,10344.874999999993,True,1.9
18,60,0.5,346662.42437280744,11562.971428571427,96.6645,11562.971428571425,True,2.6
18,60,1.0,346662.42437280744,11562.971428571429,96.6645,11562.971428571436,True,2.5
20,62,0.5,441401.90691099974,12981.288888888888,97.0591,12981.288888888888,True,3.0
20,62,1.0,441401.90691099974,12981.288888888888,97.0591,12981.288888888888,True,3.4
22,64,0.5,567078.9172249853,15342.187499999996,97.2945,15342.18749999999,True,3.7
22,64,1.0,567078.9172249852,15342.187499999996,97.2945,15342.1875,True,3.9
24,66,0.5,672802.2718804936,16445.65,97.5556,16445.649999999994,True,4.7
24,66,1.0,672802.2718804936,16445.649999999987,97.5556,16445.650000000103,True,4.4
26,68,0.5,779707.9682678166,18036.920000000002,97.6867,18036.92,True,5.4
26,68,1.0,779707.9682678166,18036.92,97.6867,18036.920000000006,True,5.1
28,70,0.5,922279.2778162563,18945.4,97.9458,18945.399999999994,True,5.9
28,70,1.0,922279.2778162564,18945.4,97.9458,18945.400000000005,True,6.2
30,72,0.5,1077558.9315049455,20876.499999999993,98.0626,20876.5,True,6.3
30,72,1.0,1077558.9315049455,20876.5,98.0626,20876.5,True,6.8
